Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Afghanistan,2022,8th,105.9,10.0,8.7,8.2,9.3,8.2,8.0,9.2,9.9,8.4,9.1,8.9,8.0
Albania,2022,121st,56.7,4.5,6.2,3.8,6.0,2.6,8.3,5.2,4.1,3.3,4.4,2.5,5.8
Algeria,2022,77th,72.2,6.1,7.2,6.9,6.3,5.3,5.4,7.9,5.3,6.6,5.3,6.5,3.4
Angola,2022,35th,88.1,6.9,7.2,8.4,8.3,8.8,5.9,8.3,9.1,6.1,9.2,5.6,4.3
Antigua and Barbuda,2022,127th,54.2,5.1,3.7,3.6,7.1,4.8,6.0,3.9,4.1,3.6,4.0,2.5,5.8
Argentina,2022,138th,47.9,4.6,2.8,3.5,6.3,5.0,3.0,3.7,4.5,3.0,5.6,1.9,4.0
Armenia,2022,97th,67.0,5.4,6.7,5.6,6.1,3.1,6.7,6.6,3.6,5.7,4.1,6.5,6.9
Australia,2022,168th,22.7,2.4,1.7,3.2,1.9,2.3,0.4,0.4,2.5,1.9,3.7,2.0,0.3
Austria,2022,166th,25.4,1.7,3.2,3.6,1.5,2.3,1.7,0.6,2.0,0.4,3.9,4.2,0.3
Azerbaijan,2022,73rd,73.1,6.1,7.9,5.8,4.2,4.8,4.4,9.1,5.2,7.4,3.9,6.6,7.7
Bahamas,2022,135th,50.6,4.6,4.5,2.6,4.8,4.6,4.3,2.1,5.6,4.7,6.6,2.4,3.8
Bahrain,2022,100th,66.6,5.6,7.6,9.6,4.0,5.6,3.0,8.1,3.2,8.6,4.4,1.7,5.2
Bangladesh,2022,38th,84.5,6.7,9.3,8.7,5.4,5.4,6.7,7.4,7.8,7.2,7.6,7.4,4.9
Barbados,2022,141st,45.9,4.1,4.2,2.6,6.2,5.1,5.0,1.3,3.5,2.8,4.0,1.6,5.5
Belarus,2022,91st,68.7,5.3,9.5,5.6,4.8,3.4,4.2,9.3,3.0,8.2,5.1,2.7,7.6
Belgium,2022,160th,31.9,2.3,4.4,3.8,4.3,2.0,2.6,0.9,2.8,0.9,4.5,2.4,1.0
Belize,2022,112th,62.1,7.1,4.3,4.7,7.2,3.9,5.2,3.7,5.7,5.3,5.3,3.3,6.4
Benin,2022,76th,72.5,5.0,6.7,2.5,6.7,7.9,6.2,5.3,8.4,5.2,8.0,5.4,5.2
Bhutan,2022,96th,67.4,3.0,7.5,9.4,5.5,4.6,5.8,2.8,5.9,4.9,5.7,5.5,6.8
Bolivia,2022,72nd,73.4,5.6,8.2,6.1,6.0,7.9,5.9,6.7,6.6,6.0,7.2,2.9,4.3
